                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6051,                 2.1436,                 1.5517,                0.43928,                0.42661,                0.33604,                0.16838,                 1.5477,                 2.5624,                 1.3813,             0.00023617,             0.00023617,             0.00023617
                      2,                 1.7551,                 1.5915,                 1.6591,                0.00091,                0.16055,                0.00052,                0.00028,                 2.1522,                    inf,                 3.1598,             0.00047229,             0.00047229,             0.00047229
                      3,                 1.7828,                 1.6107,                  1.712,                0.09431,                0.60092,                0.07646,                0.03688,                 1.6682,                 6.6761,                  1.532,             0.00070653,             0.00070653,             0.00070653
                      4,                 1.7691,                 1.5316,                  1.663,                0.61339,                0.51376,                 0.5052,                 0.2643,                 1.7309,                 1.7561,                 1.5158,             0.00070552,             0.00070552,             0.00070552
                      5,                  1.697,                 1.4789,                  1.623,                0.66432,                0.61009,                 0.6177,                0.34617,                  1.403,                 1.8855,                 1.3711,             0.00070269,             0.00070269,             0.00070269
                      6,                 1.6245,                 1.4141,                 1.5559,                0.56816,                0.57938,                0.56139,                0.29075,                 1.6156,                 1.6312,                 1.4536,             0.00069986,             0.00069986,             0.00069986
                      7,                 1.6685,                 1.3442,                   1.54,                0.70961,                0.70183,                0.68478,                0.39976,                  1.435,                 1.4096,                 1.3633,             0.00069704,             0.00069704,             0.00069704
                      8,                 1.6066,                 1.3614,                 1.5284,                 0.8038,                0.68349,                0.73816,                 0.4516,                 1.3333,                 1.2456,                 1.3147,             0.00069421,             0.00069421,             0.00069421
                      9,                  1.627,                 1.2916,                 1.5369,                0.82015,                0.69266,                0.79182,                0.45778,                 1.4523,                 1.1656,                 1.3467,             0.00069138,             0.00069138,             0.00069138
                     10,                  1.562,                 1.1775,                 1.5192,                 0.7908,                0.66972,                0.71941,                0.38193,                 1.5194,                 1.1834,                 1.4038,             0.00068855,             0.00068855,             0.00068855
                     11,                 1.5844,                 1.2037,                 1.5345,                0.81681,                0.72018,                0.77254,                0.49118,                  1.309,                 1.0741,                 1.2861,             0.00068573,             0.00068573,             0.00068573
                     12,                 1.5448,                 1.1396,                 1.4952,                0.84571,                0.70183,                0.78233,                0.47346,                 1.3012,                 1.0517,                 1.3025,              0.0006829,              0.0006829,              0.0006829
                     13,                 1.4917,                 1.0869,                 1.4675,                0.76391,                0.70183,                0.74019,                0.40729,                 1.4804,                 1.0993,                  1.371,             0.00068007,             0.00068007,             0.00068007
                     14,                 1.4795,                 1.0837,                 1.4639,                0.83365,                0.73565,                0.79588,                0.50067,                 1.3009,                0.98903,                 1.2967,             0.00067724,             0.00067724,             0.00067724
                     15,                 1.5137,                 1.0909,                 1.4716,                0.75167,                0.74979,                0.77814,                0.47316,                 1.3548,                 1.0324,                 1.3013,             0.00067442,             0.00067442,             0.00067442
                     16,                  1.452,                 1.0566,                 1.4503,                 0.8521,                0.71356,                0.78951,                0.48932,                 1.3331,                 1.0073,                 1.2854,             0.00067159,             0.00067159,             0.00067159
                     17,                 1.4719,                 1.0407,                 1.4613,                0.82004,                0.74312,                0.80055,                0.47392,                 1.3943,                0.95807,                 1.3183,             0.00066876,             0.00066876,             0.00066876
                     18,                 1.4724,                 1.0097,                 1.4256,                 0.7794,                0.75229,                0.80359,                 0.4898,                 1.2846,                 0.9725,                 1.2614,             0.00066593,             0.00066593,             0.00066593
