                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.0805,                 14.902,                 8.3741,                0.00046,                 0.1134,                0.00028,                  9e-05,                 8.1893,                 21.227,                 7.6972,             0.00065753,             0.00065753,             0.00065753
                      2,                 5.7419,                  8.089,                 6.4884,                0.02887,                0.18557,                0.01255,                0.00259,                 5.7362,                 14.133,                   6.57,              0.0013155,              0.0013155,              0.0013155
                      3,                 5.3279,                  6.754,                 5.9249,                0.08157,                0.06596,                0.02343,                0.00662,                    nan,                    nan,                    nan,              0.0019646,              0.0019646,              0.0019646
                      4,                 5.1961,                 6.1057,                 5.7164,                0.40346,                0.15464,                0.13166,                0.03944,                 5.3923,                 7.7913,                 6.0876,              0.0019604,              0.0019604,              0.0019604
                      5,                 5.0172,                 5.7424,                 5.4963,                0.34581,                0.26804,                0.16529,                0.05237,                 4.9817,                  5.534,                 5.3563,              0.0019472,              0.0019472,              0.0019472
                      6,                 4.8571,                 5.3956,                 5.3592,                 0.3825,                 0.2268,                0.19817,                0.07346,                 4.8302,                 6.2201,                 5.1968,               0.001934,               0.001934,               0.001934
                      7,                 4.7525,                 5.2826,                 5.1759,                 0.2365,                0.30928,                0.19256,                0.07031,                 4.6837,                 4.5615,                 4.8636,              0.0019208,              0.0019208,              0.0019208
                      8,                 4.4983,                  4.961,                 4.8487,                0.33479,                0.36082,                0.28276,                0.10218,                 4.4955,                 5.1883,                  4.665,              0.0019076,              0.0019076,              0.0019076
                      9,                 4.4292,                 4.6482,                 4.7593,                0.42089,                0.40206,                0.34561,                0.11581,                 4.6691,                 4.4635,                 4.7492,              0.0018944,              0.0018944,              0.0018944
                     10,                 4.3544,                 4.5083,                 4.6544,                0.22371,                0.47423,                0.25125,                0.09978,                 4.3277,                 5.2681,                 4.5437,              0.0018812,              0.0018812,              0.0018812
                     11,                 4.1838,                 4.3991,                 4.5295,                0.36662,                 0.4433,                0.32618,                0.12742,                  4.251,                 4.1658,                 4.4013,               0.001868,               0.001868,               0.001868
                     12,                 4.0264,                 4.2136,                 4.3469,                0.50903,                0.51546,                0.47787,                0.19613,                 3.9158,                 3.3749,                 4.0917,              0.0018548,              0.0018548,              0.0018548
                     13,                 3.9453,                  3.971,                 4.2346,                0.56869,                0.53608,                0.49242,                0.20393,                 3.9183,                 3.6417,                 3.9576,              0.0018416,              0.0018416,              0.0018416
                     14,                  3.891,                 3.8792,                 4.1056,                 0.5661,                0.59794,                0.60802,                0.28166,                   3.64,                 3.2806,                 3.7147,              0.0018284,              0.0018284,              0.0018284
                     15,                 3.8275,                 3.8466,                 4.0694,                0.60311,                0.52577,                0.50556,                0.21782,                   3.65,                 4.0035,                 3.8078,              0.0018152,              0.0018152,              0.0018152
                     16,                 3.7658,                 3.7875,                 3.9501,                0.51768,                0.55328,                0.51498,                0.22318,                 3.6987,                 3.4939,                 3.7811,               0.001802,               0.001802,               0.001802
                     17,                  3.663,                 3.6383,                 3.8667,                0.58668,                0.62922,                0.62676,                0.28309,                  3.554,                 3.1576,                  3.609,              0.0017888,              0.0017888,              0.0017888
                     18,                 3.5933,                 3.4902,                 3.8259,                0.59355,                0.54639,                0.59136,                 0.2828,                 3.6434,                 3.1008,                 3.7615,              0.0017756,              0.0017756,              0.0017756
                     19,                 3.6521,                 3.4904,                  3.768,                0.58986,                0.53608,                0.53701,                0.23629,                 3.6482,                 3.3291,                 3.7185,              0.0017624,              0.0017624,              0.0017624
                     20,                 3.4852,                  3.424,                 3.6573,                0.63463,                 0.6701,                0.68113,                0.30946,                 3.6104,                 2.8012,                 3.5623,              0.0017492,              0.0017492,              0.0017492
                     21,                 3.4781,                 3.3049,                 3.5946,                0.64076,                0.57732,                0.63175,                0.24777,                  3.821,                 3.2013,                 3.7551,               0.001736,               0.001736,               0.001736
                     22,                 3.5089,                 3.2555,                 3.6371,                0.66586,                0.63918,                0.69653,                0.33497,                 3.3507,                 2.8593,                 3.4865,              0.0017228,              0.0017228,              0.0017228
                     23,                 3.4453,                   3.23,                 3.5669,                0.70788,                 0.5567,                0.68929,                0.31462,                 3.5637,                 2.8563,                 3.5709,              0.0017096,              0.0017096,              0.0017096
                     24,                 3.4559,                 3.1429,                 3.5794,                0.72521,                0.63918,                0.70488,                0.31401,                 3.4026,                 3.2586,                 3.4322,              0.0016964,              0.0016964,              0.0016964
                     25,                 3.3492,                  2.982,                 3.4684,                0.76866,                0.65085,                0.74422,                0.38583,                  3.223,                 2.5856,                  3.367,              0.0016832,              0.0016832,              0.0016832
                     26,                 3.4407,                  3.027,                  3.501,                0.68267,                0.63918,                0.64882,                0.33778,                 3.2344,                 2.9247,                 3.2978,                0.00167,                0.00167,                0.00167
                     27,                 3.3144,                   2.99,                 3.4309,                0.66302,                0.54767,                0.61381,                0.31112,                 3.2276,                 3.0482,                 3.3375,              0.0016568,              0.0016568,              0.0016568
                     28,                 3.3839,                 2.9497,                 3.4642,                0.75493,                0.62887,                  0.707,                0.34226,                 3.4052,                 2.7258,                 3.3953,              0.0016436,              0.0016436,              0.0016436
                     29,                 3.3402,                 2.8887,                 3.4129,                0.71538,                0.64948,                0.71483,                0.31002,                 3.6721,                 2.7885,                 3.4534,              0.0016304,              0.0016304,              0.0016304
                     30,                 3.2526,                 2.8042,                 3.3675,                0.68309,                0.66665,                0.70118,                0.29949,                  3.542,                 2.4825,                 3.4647,              0.0016172,              0.0016172,              0.0016172
                     31,                 3.2853,                 2.8462,                 3.3435,                0.76793,                0.71642,                0.76464,                0.38092,                 3.1397,                 2.4774,                 3.1714,               0.001604,               0.001604,               0.001604
                     32,                 3.2369,                 2.8125,                 3.3602,                0.83969,                0.64948,                0.74706,                0.36976,                  3.275,                 2.4229,                 3.2582,              0.0015908,              0.0015908,              0.0015908
                     33,                 3.1541,                 2.7144,                 3.2832,                0.73353,                0.72165,                0.71131,                0.40009,                  3.028,                 2.8473,                 3.2361,              0.0015776,              0.0015776,              0.0015776
                     34,                 3.1709,                 2.6699,                 3.2656,                0.79942,                0.68041,                0.78076,                0.42253,                 3.1511,                 2.4004,                  3.209,              0.0015644,              0.0015644,              0.0015644
                     35,                 3.1584,                 2.6876,                 3.2503,                0.81158,                 0.6701,                0.80072,                0.39961,                 3.1724,                 2.3497,                 3.1583,              0.0015512,              0.0015512,              0.0015512
                     36,                 3.1496,                 2.5904,                 3.2623,                0.76021,                0.71905,                0.79933,                0.37267,                  3.427,                 2.4139,                 3.2799,               0.001538,               0.001538,               0.001538
                     37,                 3.0834,                 2.5592,                 3.1898,                0.78141,                0.70024,                 0.7806,                0.37367,                 3.3872,                 2.6374,                 3.3937,              0.0015248,              0.0015248,              0.0015248
                     38,                 3.1224,                 2.5418,                 3.1945,                0.83511,                  0.731,                0.80809,                0.40182,                 3.2653,                   2.14,                 3.1881,              0.0015116,              0.0015116,              0.0015116
                     39,                 3.1152,                 2.5254,                 3.1796,                0.69745,                0.66545,                0.71931,                0.39886,                 3.0307,                 2.4516,                  3.196,              0.0014984,              0.0014984,              0.0014984
                     40,                 3.1146,                 2.6746,                 3.2191,                0.63328,                0.72165,                0.72459,                0.40387,                 3.0391,                 2.5163,                 3.1411,              0.0014852,              0.0014852,              0.0014852
                     41,                  3.066,                 2.5461,                 3.1332,                0.75295,                0.71134,                0.79219,                0.40192,                 3.2003,                 2.1361,                 3.2777,               0.001472,               0.001472,               0.001472
                     42,                 3.1009,                 2.4863,                 3.1822,                0.71717,                0.73195,                0.76174,                0.43139,                 2.9307,                 2.3976,                 3.1673,              0.0014588,              0.0014588,              0.0014588
                     43,                 3.0373,                 2.3814,                 3.1894,                0.73048,                0.74227,                0.77712,                0.44445,                 3.0443,                 2.1023,                 3.1147,              0.0014456,              0.0014456,              0.0014456
                     44,                 3.0275,                 2.4106,                 3.1312,                0.90124,                 0.7526,                0.82832,                0.43082,                 3.1147,                 1.9158,                 3.1322,              0.0014324,              0.0014324,              0.0014324
                     45,                 3.0397,                 2.4491,                  3.141,                0.78382,                0.71134,                0.79763,                0.43078,                 3.0356,                 2.0537,                 3.1274,              0.0014192,              0.0014192,              0.0014192
                     46,                 3.0335,                 2.3927,                 3.1115,                0.80505,                0.74227,                0.79488,                0.39169,                 3.3523,                 2.4455,                 3.2164,               0.001406,               0.001406,               0.001406
